z_mm,y_cut_mm,A_bare_Tight,A_hull_Tight,a_local_Tight,A_bare_Default,A_hull_Default,a_local_Default,A_bare_Wide,A_hull_Wide,a_local_Wide,V_submerged_Tight_cm3,V_submerged_Default_cm3,V_submerged_Wide_cm3
50.00000,-11.19200,5.29330,5.90119,0.32976,5.29287,7.32267,0.32976,5.29246,8.40093,0.32976,1.84658,1.84649,1.84635
52.00000,-9.19200,5.42495,6.03782,0.32529,5.42444,7.48871,0.32529,5.42402,8.59424,0.32529,1.91208,1.91199,1.91186
54.00000,-7.19200,5.55360,6.17144,0.32060,5.55248,7.65174,0.32060,5.55275,8.78454,0.32060,1.97667,1.97658,1.97645
56.00000,-5.19200,5.67386,6.30205,0.31569,5.67343,7.81176,0.31569,5.67838,8.97183,0.31569,2.04030,2.04021,2.04008
58.00000,-3.19200,5.80186,6.42966,0.31057,5.79524,7.96877,0.31057,5.79971,9.15611,0.31057,2.10293,2.10283,2.10270
60.00000,-1.19200,6.71462,12.74396,1.09950,6.71418,14.59011,1.09950,6.71377,15.72801,1.09950,2.24394,2.24384,2.24371
62.00000,0.80800,6.71462,12.74396,1.00600,6.71418,14.59011,1.00600,6.71377,15.72801,1.00600,2.45449,2.45439,2.45426
64.00000,2.80800,6.71462,12.74396,1.00000,6.71418,14.59011,1.00000,6.71377,15.72801,1.00000,2.65509,2.65499,2.65486
66.00000,4.80800,6.71462,12.74396,0.68048,6.71418,14.59011,0.68048,6.71377,15.72801,0.68048,2.82313,2.82304,2.82291
68.00000,6.80800,6.71462,12.74396,0.63568,6.71418,14.59011,0.63568,6.71377,15.72801,0.63568,2.95475,2.95466,2.95452
70.00000,8.80800,6.71462,12.74396,1.00000,6.71418,14.59011,1.00000,6.71377,15.72801,1.00000,3.11832,3.11822,3.11809
72.00000,10.80800,6.71462,12.74396,1.00000,6.71418,14.59011,1.00000,6.71377,15.72801,1.00000,3.31832,3.31822,3.31809
74.00000,12.80800,6.71462,12.74396,1.00000,6.71418,14.59011,1.00000,6.71377,15.72801,1.00000,3.51832,3.51822,3.51809
